,A1,A2,A3,B1,B2,B3,C1,C2,C3
id863,41.03,43.37,35.71,9.07,9.92,7.7,9.32,7.22,11.05
id864,0.2,0.18,0.1,0.09,0.06,0.07,0.17,0.17,0.21
id865,31.71,32.09,39.99,22.56,21.98,19.79,21.59,27.02,25.47
id866,0.54,0.68,0.59,2.21,3.08,2.12,2.46,2.41,2
id867,0.33,0.23,0.19,0.17,0.05,0.05,0.12,0.05,0.13
id868,19.49,18.22,21.56,18.77,15.3,14.74,18.95,16.85,23.52
id869,0.06,0.02,0,0,0,0,0.02,0,0.02
id870,0.17,0.28,0.16,0.02,0.13,0,0,0,0
id871,3.79,7.62,8.46,1.46,1.77,1.17,2.63,2.05,1.67
id872,0,0.05,0,0,0,0.09,0,0,0
id873,0.98,0.87,0.93,2.2,2.09,2.15,2.47,2.52,2.02
id874,0.82,0.15,0.16,0.12,0,0,0.16,0.15,0.42
id875,0,0.02,0.02,0,0.02,0.02,0.05,0.02,0.02
id876,0,0.08,0.04,0,0,0,0.04,0.08,0.09
id877,0,0,0,0,0.02,0,0,0.03,0
id878,0.04,0,0,0.26,0.48,0.14,0.19,0.71,1.51
id879,0,0.06,0,0,0,0,0.02,0.08,0.16
id880,1.31,0.94,0.76,0.26,0.13,0.37,0.67,0.47,0.72
id881,0.75,0.32,0.33,0,0.08,0,0.29,0.15,0.18
id882,0,0,0,0,0,0,0,0,0.04
id883,102.21,91.74,90.7,56.88,60.46,55.38,67.72,66.96,61.42
id884,5.68,5.68,4.2,9.4,8.1,10.02,16.04,19.12,24.71
id885,0.48,0.48,0.47,0.45,0.21,0.32,0.79,0.6,0.37
id886,0.16,0.08,0.08,0.02,0.04,0.02,0,0,0
id887,0,0.23,0,0,0,0,0,0,0
id888,9.67,4.77,2.96,57.83,52.37,42.6,19.82,21.41,26.36
id889,0,0.22,0.06,0.18,0.47,3.95,0.35,0.22,0.31
id890,1.33,1.84,1.96,3.56,3.21,4.86,2.99,2.69,3.62
id891,0,0,0.05,0,0,0,0,0,0
id892,1.9,2.14,1.89,0.04,0.23,0.17,0.26,0.27,0.21
id893,4.54,3.63,3.4,4.77,7.41,3.98,5.98,7.41,10.78
id894,0.19,0,0.11,0.17,0.22,0,0.22,0.1,0
id895,0.12,0.04,0,0,0,0.04,0,0,0.02
id896,0,0,0,0.35,0,0,0,0,0
id897,0,0.06,0.06,0,0,0,0.06,0.03,0
id898,0,0,0,0,0,0.14,0,0.14,0
id899,0.03,0.06,0.06,0,0,0,0,0,0.03
id900,46.09,48.96,54.86,12.99,11.63,14.9,29.5,27.81,28.71
id901,0,0,0,0,0,0,0,0.02,0
id902,0.1,0.38,0.29,0,0.08,0.02,0.08,0.04,0.04
id903,0.45,0.33,0.52,0.45,0.23,0.38,0.75,0.65,0.4
id904,2.23,0.92,2.14,0.22,0.17,0.22,0.45,0.05,0.36
id905,0,0,0,0,0,0,0,0.04,0.2
id906,15.21,9.36,13.51,15.95,17.85,14.89,19.21,16.98,19.29
id907,3.49,1.95,3.31,1.86,1.71,1.47,2.18,1.46,2.32
id908,29.71,30.78,29.46,37.16,34.67,31.03,37.79,29.93,29.46
id909,0.24,0.14,0.21,0.2,0.3,0.21,0.29,0.37,0.29
id910,2.51,4.22,3.74,5.75,4.05,5.65,6.09,4.46,6
id911,0.4,0.34,0.02,0.02,0.02,0.29,0.02,0.42,0.21
id912,0.14,0,0.36,0.06,0.08,0.12,0.04,0.07,0
id913,0,0,0,0.13,0,0,0,0,0
id914,0.1,0.3,0.44,0.36,0.49,0.12,0.36,0.43,0.8
id915,297.79,318.28,334.89,233.76,248.77,232.27,242.91,223.6,244.05
id916,0.21,0.39,0.49,0.81,0.73,0.79,1.84,0.52,0.68
id917,57.91,61.34,58.01,77.17,67.78,76.84,109.69,100.31,85.68
id918,27.71,25.11,25.03,25.35,26,25.63,28.7,26.52,25.78
id919,2.45,3.64,9.55,1.34,1.79,0.77,1.67,4.5,0.78
id920,0.76,3.18,1.22,3.54,2.17,2.05,2.15,1.38,2.29
id921,0.33,0.1,0.25,0.02,0,0,0.15,0.14,0.04
id922,101.13,91.81,104,89.67,83.84,95.63,93.91,96.18,112.01
id923,0.03,0.2,0.09,0,0.03,0,0.12,0.14,0
id924,0.06,0,0.15,0,0,0,0.29,0,0.16
id925,4.19,0.09,0.1,3.23,0.05,0,0.1,0.36,0.26
id926,0.68,0.44,0.38,0,0,0.04,0.04,0,0
id927,7.89,7.11,8.06,6.42,6.46,8.46,8.91,11.08,9.45
id928,0.05,0.11,0.28,0.39,0.11,0.38,0.11,0.47,0.06
id929,4.61,7.53,5.7,4.87,4.73,5.95,3.02,4.38,2.62
id930,6.64,0.72,0.95,1.77,1.67,24.59,2.18,3.93,27.89
id931,1.38,0.71,1.24,2.08,2.49,2.28,2.51,2.21,2.09
id932,7.08,8.32,9.21,2.15,1.25,2.01,1.61,1.16,1.09
id933,2.74,1.71,2.53,0.71,0.59,0.62,0.7,0.62,0.98
id934,0.03,0.34,0.04,0.7,0.4,0.47,0.83,0.74,0.67
id935,4.83,5.5,4.2,1.37,0.69,1.18,1.94,2.55,2.48
id936,110.4,114.64,110.61,92.95,114.58,91.59,87.59,87.32,83.35
id937,7.26,7.12,8.43,0.45,0.88,2.28,1.63,1.25,2.5
id938,0.73,0.28,0.74,0.26,0.15,0.18,0.92,0.58,0.59
id939,0.04,0.04,0.05,0,0,0.02,0,0.04,0.02
id940,0,0,0.07,0,0,0.1,0,0.18,0
id941,2.61,2.91,2.31,4.39,2.25,3.38,2.71,3.37,3.39
id942,0,0.08,0,0,0,0,0,0,0
id943,10.94,11.07,9.32,6.4,5.68,7.13,4.81,4.13,4.22
id944,1.09,1.55,0.93,1.01,0.38,0.75,1.28,0.79,0.94
id945,4.47,4.48,4.62,1.54,2.08,2.14,2.95,2.75,2.89
id946,1.9,1.7,2.38,1.74,1.19,1.05,0.98,0.75,0.83
id947,0.29,0.14,0.07,0.4,1.38,0.22,2.06,2.17,3.49
id948,20.8,19.13,21.25,24.98,26.72,23.08,24.5,23.07,22.13
id949,35.17,31.44,35.74,76.5,71.34,73.32,80.92,90.39,79.74
id950,16.43,23.37,19.93,9.02,19.14,7.09,7.58,8.68,13.64
id951,1.28,1.25,1.56,0.57,0.25,0.97,0.8,1.15,1.18
id952,0,0.05,0,0,0,0,0,0,0.03
id953,3.93,1.76,3.49,5.59,4.06,5.3,10.66,5.25,15.63
id954,39.77,39.84,39.48,16.7,15.65,21.69,12.57,14,12.31
id955,0.63,0.7,0.75,0.89,0.76,0.87,0.71,1.06,1.06
id956,0,0,0,0,0,0,0.08,0.04,0
id957,0.06,0,0,0,0.14,0,0.07,0,0
id958,22.68,26.07,23.46,1.71,4.21,2.78,0.98,0.75,1.83
id959,11.25,13.59,14.11,48.31,51.45,50.42,44.59,46.28,40.06
id960,0.62,2.68,4.5,0.22,0.06,0.46,0.22,0.26,0.13
id961,22.87,22.61,24.83,9.9,10.64,10.89,12.68,14.02,18.97
id962,0.37,0.19,0.3,2.25,2.21,1.69,2.74,2.13,2.42
id963,6.09,4.7,6.58,9.23,9.34,10.37,9.6,9.62,10.69
id964,26.95,20.9,24.9,13.33,10.89,11.95,23.16,19.95,21.52
id965,3.71,2.89,2.73,1.79,1.75,1.67,2.02,2.87,2.45
id966,317,350.23,295.87,982.46,984.69,880.45,704.14,643.87,742.51
id967,0,0,0,0.05,0,0.06,0,0,0
id968,0,0,0,0,0,0,0,0.11,0
id969,0.02,0,0,0,0,0.02,0.13,0.21,0.26
id970,0.14,0.14,0,0.13,0.31,0.35,0.73,0.77,1.58
id971,0,0,0,0,0.52,0,0.1,0.19,0.11
id972,25.85,27.87,23.6,12.8,14.56,12.06,12.53,7.44,13.87
id973,6.55,5.56,6.03,12.85,14.45,14.11,16.31,16.04,14.73
id974,35.12,33.22,29.54,17.02,16.39,15.95,20.26,15.45,17.4
id975,0.02,0.12,0.03,3.15,0.08,0.28,0.28,0.07,0.16
id976,0.29,0.39,0,0.89,0.96,1.74,1.76,1.14,1.52
id977,0,0.28,0.15,0,0.03,0,0,0,0
id978,18.15,9.1,11.84,104.76,91.75,97.88,53.51,55.21,49.66
id979,0.49,0,0.1,0.64,0.31,0.36,0.16,0.15,0.28
id980,0.35,0.28,0.22,0.76,0.37,2.37,0.55,0.31,0.31
id981,5.79,7.59,8.13,12.34,15.08,14.97,7.29,9.1,10.42
id982,50.87,54.73,47.45,23.11,25,24.47,9.06,11.96,9.21
id983,0.86,0.78,0.82,0.38,6.4,2.57,0.22,13.83,0.53
id984,0,0,0,0,0.04,0,0,0.11,0
id985,1.41,0.31,0.19,0.6,1.96,0.63,0.82,1.22,2.63
id986,1.9,0,0.09,0,0.51,0,0.08,0.47,0.27
id987,0,0,0,0,0.07,0,0,0,0
id988,0,0,0,0,0,0,0,0.05,0
id989,0.22,0.5,0.95,5.17,7.5,6.36,6.24,7.23,6.18
id990,0.43,0.16,0.84,0.26,0.17,0.16,0.17,0.46,0.09
id991,0.3,0.24,0.07,0.05,0.21,0.03,0.03,0.13,0.04
id992,18.2,17.12,14.85,44.24,44.29,40.23,46.65,51.56,57.42
id993,0.11,0,0,0,0,0.06,0.37,0.17,0.26
id994,1.08,2.55,1.64,1.44,1.09,2.5,1.93,2.21,1.26
id995,0,0,0,0,0,0,0,0.03,0.04
id996,3.36,3.05,2.44,37.69,38.84,39.55,54.26,46.11,55.65
id997,0.1,0.17,0,0.09,0.23,0.06,0.29,0.27,0.12
id998,0,0,0,1.1,0.57,0.84,0.57,0.13,0
id999,0,0.05,0,0,0,0.03,0.16,0.02,0.03
id1000,0,0,0,0.34,0.45,0.73,0.15,0.28,0.24
id1001,24.81,23.96,21,94.06,94.97,90.6,94.26,105.66,100.83
id1002,3.04,2.08,2.91,2.73,2.23,2.23,0.97,1.68,0.79
id1003,0.14,0.28,0.08,0.33,0.27,0.34,0.5,0.49,0.51
id1004,0.04,0.06,0.26,0.35,0.13,0.11,0.16,0.09,0.07
id1005,0.13,0,0,0,0,0,0,0,0
id1006,0,0,0.16,0.12,0.11,0.05,0,0.15,0
id1007,0.05,0,0.06,0,0,0,0,0.06,0
id1008,6.32,7.56,4.95,3.93,4.01,3.4,4.46,3.15,2.2
id1009,0.41,0.92,0.48,0.62,0.72,0.78,0.24,0.59,0.59
id1010,0,0,0.08,0,0,0,0,0,0
id1011,0.07,0,0.04,0.06,0.08,0.08,0,0.58,0.04
id1012,0.02,0,0,0,0.03,0.05,0,0.02,0
id1013,0.83,0.5,0.65,0.42,0.83,0.41,0.7,0.69,0.43
id1014,3.77,4.18,3.71,1.12,2.49,2.88,2.56,1.76,2.47
id1015,0.26,0.38,0.24,0.23,0.24,0.27,0.12,0.23,0.29
id1016,0.04,0.21,0,0.17,0.04,0,0.53,0.37,0.09
id1017,3.18,3.32,4.08,2.59,2.44,2.56,2,2.61,1.63
id1018,6.49,6.75,8.68,4.06,3.3,4.25,6.28,5.64,4.87
id1019,0.2,0.13,0.1,0.17,0.08,0.17,0.3,0.55,0.27
id1020,0.21,0.12,0.08,0.06,0.08,0.16,0.16,0.11,0.09
id1021,0,0,0,0.05,0.03,0.06,0,0,0.09
id1022,4.07,6.85,7.51,2.25,2.47,6.84,6.74,4.58,4.89
id1023,0,0,0,0,0.06,0,0,0,0
id1024,4.64,0.14,0.11,0.15,0.04,0.84,0.04,0.14,0.05
id1025,1.42,0.38,0.4,0.4,0.63,0.2,0.48,0.34,0.6
id1026,1.62,0.59,1.12,3.06,3.33,2.68,3.62,3.35,3.47
id1027,2,0.34,1.72,2.57,2.28,2.52,3.26,4.5,3.95
id1028,13.27,12.18,13.99,19.87,19.13,22.14,20.32,19.34,21.29
id1029,0.38,0.45,0.12,0.36,0.12,0.37,0.35,0.19,0.15
id1030,0.47,0.46,0.73,0.13,0.52,0.4,0.48,0.54,0.66
id1031,0,0,0.16,0,0,0,0,0,0
id1032,0,0,0,0,0,0,0,0.07,0.08
id1033,0,0.08,0,0,0,0.08,0,0,0
id1034,0.2,0.37,0.23,0.09,0,0.11,0.15,0.21,0.2
id1035,0.06,0.07,0.03,0.05,0.03,0,0,0,0
id1036,0.46,0.17,0.18,0.64,0.54,0.53,0.95,0.33,0.88
id1037,0,0.11,0.06,0.26,0.17,0.5,1.07,1.36,1.08
id1038,0,0,0,0.11,0,0,0,0,0
id1039,22.64,24.1,24.75,27.46,26.51,23.74,20.77,14.64,21.25
id1040,28.01,25.59,32.38,18.53,18.09,21.97,21,25.41,21.72
id1041,0.76,0.25,0.31,0.44,0.31,0.05,0.36,0.53,0.22
id1042,0.46,0.1,0.11,1.15,0.43,1.77,3.17,4.25,4.84
id1043,0.23,0.15,0.21,0.2,0,0.05,0.11,0.15,0.39
id1044,3.98,3.24,4.59,0.53,0.28,0.34,2,1.22,1.69
id1045,92.85,131.95,116.28,36.83,54.83,55.87,25.82,30.53,32.55
id1046,0.05,0.11,0.18,0,0,0,0,0,0.06
id1047,9.74,13.13,13.24,3.71,4.92,7.94,7.49,5.26,7.98
id1048,0.38,0.21,0.31,0.13,0.33,0.08,0.44,0.28,0.97
id1049,84.18,74.38,88.35,20.57,21.48,23.53,45.05,43.35,42.5
id1050,8.34,9.47,10.18,19.22,15.98,17.48,22.2,16.51,18.01
id1051,0.1,0.05,0.09,0,0.01,0.01,0,0,0.01
id1052,3.94,4.15,4.51,5.61,7.09,6.59,10.79,9.91,9.65
id1053,3.7,5.08,3.76,1.89,2.01,1.31,2.69,2.13,1.72
id1054,0.01,0.01,0.03,0.23,0.08,0.12,0.07,0.29,0.11
id1055,3.43,5.38,4.89,1.76,2.73,2.47,4.78,3.7,4.03
id1056,0,0,0,0.25,0.16,0.42,0.16,0.4,0.23
id1057,0.07,0.08,0,0,0.09,0.04,0.17,0.04,0.05
id1058,1.3,1.13,0.98,1.5,1.16,1.42,2.43,1.58,1.34
id1059,3.33,2.49,3.15,5.48,5.71,3.75,5.03,4.95,4.19
id1060,0,0,0,0.21,0,0.07,0,0.13,0
id1061,0.43,0.29,0.6,0,0,0,0,0,0
id1062,0.21,0,0.33,0,0,0.32,0.74,0.31,0
id1063,2.55,3.01,2.97,6.15,4.32,4.89,4.67,5.16,3.24
id1064,45.31,39.05,43.57,50.26,49.3,49.27,40.91,39.07,39.96
id1065,0.49,0.33,0,0.65,0.61,0.67,0.72,0.57,1.29
id1066,0.05,0.06,0,0.1,0,0,0.06,0.06,0.2
id1067,0.25,0.37,0.29,0.15,0.1,0.47,0.05,0.31,0.05
id1068,0.36,0.08,0,0,0,0,0,0,0
id1069,8.98,9.04,8.74,6.51,6.83,6.69,12.84,14.67,17.03
id1070,0.02,0,0.03,0,0.09,0,0.03,0,0.03
id1071,6.21,2.33,5.14,1.93,3.81,2.49,2.3,1.23,2.25
id1072,5.5,17.15,16.15,8.89,23.15,23.34,15.68,19.6,6.15
id1073,1.11,1.5,0.83,13.52,10.93,27.13,9.9,6.85,7.02
id1074,0.03,0.11,0.04,0.01,0.13,0.02,0.02,0.16,0.04
id1075,2.47,14.92,3.18,14.38,1.49,11.24,10.18,14.57,1.26
id1076,0.57,0.6,0.22,1.57,0.33,0.76,2.36,2.44,2.35
id1077,0.58,0.16,0.17,0.65,0.45,0.16,0.39,0.31,0.3
id1078,0.15,0.12,0.22,0,0,0,0.04,0,0
id1079,127.01,130.66,123,29.43,34.67,32.18,33.11,31.49,32.85
id1080,68.85,71.73,65.07,65.88,66.69,63.93,65.5,54.34,63.89
id1081,11.99,13.86,12.5,8.34,6.6,6.58,8.17,5.2,5.68
id1082,0.69,2.46,4.82,2.81,1.12,0.74,0.64,1.67,3.09
id1083,12.7,5.3,8.77,1.6,2.28,1.52,4.85,6.92,6.92
id1084,0.13,0.02,0.1,0.12,0,0.24,0,0,0.11
id1085,0.1,0.04,0.04,0.06,0,0.04,0,0.04,0.04
id1086,18.11,18.15,18.74,26.25,24.82,27.79,24.44,25.52,22.65
id1087,0.37,0.3,0.57,0.65,1.63,0.77,0.76,0.88,0.66
id1088,711.13,776.99,836.36,634.02,704.82,759.95,638.52,582.44,618.09
id1089,9.41,10.53,7.58,17,16.47,17.01,16.71,15.18,15.85
id1090,1.21,1.13,1.65,0.98,1.69,1.98,1.68,1.48,1.14
id1091,0.12,0.13,0.23,0.14,0.09,0.18,0.05,0.13,0.29
id1092,1.71,0.45,5.29,0.09,2.15,0.27,0.31,0.25,3.22
id1093,4.27,4.31,3.84,4.06,5.09,3.78,5,3.48,3.76
id1094,0.08,0.03,0.07,0,0.07,0,0,0.06,0.07
id1095,0.03,0,0,0,0.04,0.07,0.04,0,0.04
id1096,0.14,0.18,0.22,15.97,9.71,11.58,19.17,22.39,18.4
id1097,11.5,9.83,15.39,1.85,1.86,1.76,2.89,2.51,3.25
id1098,1.79,2.57,2.09,0.82,0.78,0.76,0.83,0.86,1.38
id1099,0,0,0.05,0.04,0,0,0.05,0,0
id1100,37.69,36.38,41.46,9.32,7.75,10.19,11.86,9.95,10.85
id1101,2.28,2.42,4.77,0.8,0.32,0.6,0.96,0.36,0.75
id1102,0.27,0.34,0.38,0.44,0.18,0.19,0.53,0.55,0.65
id1103,0.1,0.08,0,7.84,8.83,7.21,4.28,5.89,4.26
id1104,21.91,21.04,19.39,19.88,19.56,18.84,29.45,26.32,24.08
id1105,6.61,7.25,5.85,9.97,8.1,7.6,10.87,8.17,7.3
id1106,0.08,0.04,0.05,0.18,0.09,0,0.28,0.3,0.2
id1107,0,0,0,0,0,0.04,0.05,0.21,0.24
id1108,44.33,44.58,39.97,101.89,102.03,101.37,89,91.21,85.01
id1109,20.12,15.11,24.96,18.93,32.83,32.08,19.33,23.36,22.44
id1110,1.4,1.15,1.66,1.26,1.2,1.31,2.58,2.48,2.03
id1111,0.04,0.06,0.04,0.07,0.02,0,0.02,0.06,0.12
id1112,1.36,0.98,1.26,0.11,0,0.23,0.6,0.39,0.74
id1113,0.19,0.51,0.33,0.07,0.02,0.02,0.13,0.12,0.14
id1114,0.79,0.18,0.6,0.25,0.19,0.32,0.41,0.17,0.15
id1115,0,0,0,0,0,0,0,0.03,0.02
id1116,0,0,0,0.05,0.02,0.14,1.71,0.32,0.36
id1117,0.21,0.27,0.07,0.27,0.07,0.07,0.07,0.1,0
id1118,0.2,0.33,0.23,0.8,0.77,1.59,1.07,0.75,0.65
id1119,0,0,0.09,0,0,0,0,0,0
id1120,0.4,0.44,0.03,3.28,2.75,2.24,3.77,10.6,7.67
id1121,19.7,20.47,20.45,22.29,20.55,24.82,17.45,18.01,19
id1122,3.75,4.95,4.13,4.64,4.74,4.93,8.78,13.17,10.78
id1123,0,0,0,0.01,0,0,0.02,0,0
id1124,2.06,1.16,1.65,2.69,3.79,2.83,2.94,2.68,3.06
id1125,0.67,2.46,0.78,0.95,0.84,0.44,0.61,0.47,4.66
id1126,31.95,47.53,41.48,9.49,9.65,7.59,6,3.56,4.57
id1127,0.13,0.03,0.03,0,0,0,0,0,0
id1128,3.55,2.16,3.39,2.43,2.62,2.98,4.23,3.52,4.43
id1129,0,0,0,0,0,0,0,0.01,0
id1130,0,0,0,0.11,0.03,0.02,0.1,0.06,0
id1131,0.03,0.08,0.2,0,0,0,0,0,0
id1132,5.44,2.33,4.22,2.06,2.3,2.62,14.07,13.86,17.88
id1133,0.39,0.15,0.15,0.64,0.3,0.3,3.53,3.37,4.96
id1134,6.24,2.36,2.57,0.99,0.32,1.04,0.11,0.79,1.13
id1135,0.23,0.32,0.2,0,0,0.06,0.13,0.37,0.07
id1136,1.06,0.69,0.46,0.44,0.72,0.79,0.62,0.74,1.27
id1137,0.66,0.88,0.64,1.04,0.76,1.37,2.17,2.69,1.96
id1138,0,0,0,0,0,0,0.19,0,0
id1139,9.83,14.35,13.02,18.16,18.22,21.76,16.4,19.29,18.45
id1140,1.23,1.23,1.48,13.1,8.09,10.82,4.98,5.29,4.23
id1141,18.06,20.59,17.75,23.26,21.48,24.17,19.12,16.21,15.79
id1142,0,0,0,0,0,0,0.2,0.03,0.07
id1143,0.96,1.09,0.86,0.87,0.88,0.78,1.44,1.12,1.71
id1144,0.6,5.81,0.26,0.45,0.41,0.92,7.21,1.68,0.62
id1145,0.15,0.06,0,0.13,0.06,0,0.06,0.05,0.24
id1146,2.77,2.06,2.23,3.76,4.49,3.59,4.78,4.84,5.63
id1147,7.66,9.16,9.34,5.04,5.34,5.51,4.49,4.09,4.22
id1148,17.03,16.21,17.33,5.54,4.39,6.12,5.18,4.39,5.57
id1149,38.13,53.64,36.94,31.19,33.82,34.19,10.5,8.04,9.09
id1150,8.91,8.09,6.79,8.45,9.36,10.31,17.67,22.21,24.33
id1151,9.39,4.76,6.29,3.46,5.92,4.61,9.26,15.26,21.69
id1152,1.34,1.07,0.88,0.88,0.69,0.85,1.36,1.19,1.06
id1153,37.19,33.11,33.95,21.26,20.24,19.39,20.18,19.34,17.32
id1154,9.9,11.15,12.85,22.15,21.5,24.51,30.58,32.14,27.36
id1155,10.03,15.66,10.08,22,20.74,23.11,25.62,28.14,28.04
id1156,9.14,8.78,10.94,13.38,13.02,16.11,19.73,15.34,17.54
id1157,1.82,2.72,2.06,1.53,1.94,1.12,3,1.46,1.98
id1158,3.63,2.7,2.68,2.6,1.2,1.79,3.56,1.96,2.9
id1159,0.22,0.15,0.26,0.39,0.46,0.35,0.2,0.24,0.11
id1160,1.88,1.84,1.62,3.55,3.14,5.82,4.38,4.56,3.38
id1161,0.75,1.29,0.87,0.12,0.13,0.05,0.08,0.2,0.08
id1162,13.05,10.05,15.53,13.9,14.51,16.1,19.09,17.75,16.94
id1163,2.54,3,3.86,4.38,4.16,4.27,4.46,4.77,3.53
id1164,0.33,0.61,0.45,0.38,0.62,0.35,0.54,0.42,0.28
id1165,0.05,0,0,0.02,0.09,0,0.19,0.09,0.1
id1166,0.05,0,0.05,0.13,0.11,0.05,0.16,0.1,0
id1167,0.05,0.03,0.06,0.02,0.03,0,0.11,0.05,0.03
id1168,0.05,0.16,0.23,0.02,0,0.08,0,0.03,0.12
id1169,1.67,2.57,2.93,1.65,1.2,1.49,1.92,1.72,1.52
id1170,0.54,0.21,0.78,0.54,0.41,0.87,0.81,0.48,0.9
id1171,0.15,0.03,0.02,0.03,0,0,0.05,0,0.11
id1172,0,0,0,0,0.03,0,0,0,0
id1173,0.14,0.42,0.51,0.17,0.06,0,0.16,0.09,0
id1174,2.55,2.05,2.52,3.33,2.34,2.53,3.14,2.24,3.48
id1175,0.2,0.06,0.02,0,0,0.02,0,0.04,0.1
id1176,0.03,0.1,0,0,0.1,0,0.1,0.03,0
id1177,0.7,0,0.2,0.12,0.14,0.1,0.1,0.11,0.65
id1178,0,0,0,0.01,0,0,0,0,0
id1179,0,0,0,0.02,0,0,0,0,0
id1180,0.26,0.53,0.44,1.45,1.15,1.8,2.62,3.43,3.75
id1181,1.09,1.74,2.37,0.08,0.5,0.65,0.11,0.56,0.58
id1182,0.03,0.01,0.06,0.04,0.05,0.08,0.03,0.03,0
id1183,335.21,333.11,296.88,260.08,249.9,277.93,174.77,200.96,235.72
id1184,0.23,0.14,0.2,0,0,0,0.02,0,0.02
id1185,0.17,0.15,0.33,0.65,0.39,0.81,1.28,1.74,1.45
id1186,1.98,0.46,1.07,0,0,0.05,0.16,0.1,0.4
id1187,15.07,12.1,14.94,3.38,5.35,3.25,4.2,7.12,2.55
id1188,0.56,0.51,0.48,0.58,0.66,0.78,1.14,1.13,0.86
id1189,24.85,20.25,23.65,15.17,15.07,17.66,15.75,15.45,14.64
id1190,0,0,0,0.22,0,0.17,0,0.05,0.18
id1191,57.25,58.16,59.86,32.11,31.58,34.72,35.67,36.36,32.72
id1192,0.2,0.03,0.17,0.08,0.13,0.13,0.2,0.28,0.07
id1193,40.46,36.78,36.38,63.72,63.51,63.22,50.67,52.76,50.62
id1194,51.2,45.66,48.89,54.89,50.49,51.57,56.19,62.14,52.9
id1195,0.25,0.25,0.28,0.31,0.53,0.63,2.54,1.78,3.04
id1196,53.35,44.23,57.74,52.29,66.98,46.42,35.54,40.81,42.87
id1197,3.12,2.94,2.23,0.48,0.68,0.35,0.74,0.8,1.47
id1198,7.07,10.19,8.67,6.13,4.46,5.14,7.05,5.27,5.29
id1199,1.25,1.03,0.84,1.68,1.66,1.51,1.79,2.05,2.06
id1200,0.14,0.08,0.04,2.81,3.58,2.09,4.13,3.16,3.33
id1201,82.76,55.38,66.08,18.95,14.68,15.96,20.65,20.12,17.76
id1202,15.94,14.78,16.96,10.59,8.98,11.49,10.54,10.46,11.54
id1203,8.65,7.27,9.38,26.18,24.8,26.79,29.09,23.17,25.19
id1204,0.3,1.68,0.21,0.05,0.14,0.27,0.9,0.84,0.22
id1205,17.74,15.49,18.34,5.29,5.52,6.69,12.44,11.36,11.23
id1206,0,0,0,0,0,0,0,0.04,0
id1207,0.17,0,0,0,0.19,0.19,0,0.12,0
id1208,198.24,198.44,187.26,264.65,244.24,230.18,257.03,248.51,232.07
id1209,2.56,3.05,3.12,0.73,0.95,0.79,0.81,0.63,0.43
id1210,0.49,0.48,0.53,0.08,0.21,0.42,0.56,0.5,0.26
id1211,15.14,17.52,20.13,9.97,11.15,9.58,10.22,12.02,11.76
id1212,2.51,3.55,3.71,2.77,4.39,1.76,2.34,1.35,3.56
id1213,0,0.06,0,0,0,0.19,0,0,0
id1214,0.28,0.38,0.58,0.29,0.31,0.31,0.39,0.55,0.47
id1215,0,0.18,0.05,6.7,4.81,4.05,11.23,8.73,10.5
id1216,0.06,0.05,0.08,0.14,0.09,0.14,0.21,0.16,0.19
id1217,0.16,0.17,0.18,0,0,0.18,0.63,0.42,0.77
id1218,7,4.76,6.31,4.57,4.1,3.51,3.46,3.52,2.87
id1219,0.11,0.18,0.44,0.05,0,0,0,0,0
id1220,894.49,1433.88,959.17,1283.59,1535.06,981.63,1114.42,903.23,1066.11
id1221,0.69,0.72,0.93,0.41,0.32,0.44,0.79,0.3,0.53
id1222,4.04,2.96,2.4,1.77,1.24,1.62,0.41,0.98,0.15
id1223,15.19,14.61,18.45,12.04,10.71,13.97,15.52,12.25,16.31
id1224,53.19,43.16,42.25,22.73,19.56,20.22,35.6,38.1,27.16
id1225,0.26,0.15,0.76,0.23,0.2,0.1,0.2,1.27,2.47
id1226,0,0.05,0,0,0,0,0,0,0
id1227,0,0,0,0,0,0,0.03,0,0
id1228,79.62,73.91,80.09,71.69,68.7,69.96,86.42,84.24,92.14
id1229,2.42,2.04,2,3.47,2.3,1.95,6.02,3.22,3.99
id1230,7.36,7.38,8.59,12.82,11.18,10.83,12.46,13.13,11.08
id1231,12.18,8.12,8.51,23.45,21.98,20.46,15.65,33.5,25.67
id1232,9.64,10.15,9.97,11.94,12.02,10.12,18.38,15.17,15.78
id1233,0.92,0.7,0.69,0.56,0.96,0.86,0.72,0.82,1.05
id1234,8.8,8.12,8.21,10.08,10.92,10.53,9.36,8.94,9.54
id1235,4.09,2.74,3.93,0.74,1,0.48,1.22,0.61,1.12
id1236,0.74,0.63,0.6,0.66,0.8,0.84,0.72,2.21,1.61
id1237,2.02,0.05,0.19,9.71,34.06,16.9,26.22,37.92,48.41
id1238,0.39,0.44,1.6,0.53,0.23,1.34,1.13,0.85,1.21
id1239,0.4,0.55,0.17,0.75,0.58,0.22,0.29,0.43,0.3
id1240,0.07,0,0.08,0,0,0,0,0,0
id1241,0.89,0.41,0.43,1.42,1.2,1.01,1.24,1.31,1.59
id1242,0.34,0.51,0.4,0.03,0,0.04,0,0,0
id1243,1.88,2.01,2.28,5.62,5.68,5.32,3.18,2.54,2.85
id1244,0,0,0,0,0.05,0,0,0,0
id1245,1.05,0.53,0.55,0.42,0.71,0.77,1.05,1.42,1.87
id1246,17.08,4.23,2.8,44.32,162.33,62.1,118.16,207.68,320.61
